Gene stable ID	Gene stable ID version	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Plex1	Plex19	Plex70
ENSG00000211772	ENSG00000211772.4	TRBC2	T cell receptor beta constant 2 [Source:HGNC Symbol;Acc:12157]	7	142498725	142500432			
ENSG00000237254	ENSG00000237254.2	TRBV30	T cell receptor beta variable 30 (gene/pseudogene) [Source:HGNC Symbol;Acc:12214]	7	142510271	142511084			
ENSG00000215177	ENSG00000215177.3	IGLV8OR8-1	immunoglobulin lambda variable 8/OR8-1 (pseudogene) [Source:HGNC Symbol;Acc:5932]	8	48114067	48114520			
ENSG00000254017	ENSG00000254017.1	IGHEP2	immunoglobulin heavy constant epsilon P2 (pseudogene) [Source:HGNC Symbol;Acc:5524]	9	5113549	5114804			
ENSG00000205274	ENSG00000205274.3	TRBV20OR9-2	T cell receptor beta variable 20/OR9-2 (non-functional) [Source:HGNC Symbol;Acc:12197]	9	33617760	33618504			
ENSG00000183938	ENSG00000183938.5	TRBV21OR9-2	T cell receptor beta variable 21/OR9-2 (pseudogene) [Source:HGNC Symbol;Acc:12199]	9	33629119	33629584			
ENSG00000234122	ENSG00000234122.1	TRBV22OR9-2	T cell receptor beta variable 22/OR9-2 (pseudogene) [Source:HGNC Symbol;Acc:18740]	9	33634109	33634244			
ENSG00000229063	ENSG00000229063.2	TRBV23OR9-2	T cell receptor beta variable 23/OR9-2 (non-functional) [Source:HGNC Symbol;Acc:12202]	9	33638033	33638492			
ENSG00000215206	ENSG00000215206.5	TRBV24OR9-2	T cell receptor beta variable 24/OR9-2 (pseudogene) [Source:HGNC Symbol;Acc:12204]	9	33649045	33649612			
ENSG00000231165	ENSG00000231165.3	TRBV26OR9-2	T cell receptor beta variable 26/OR9-2 (pseudogene) [Source:HGNC Symbol;Acc:15485]	9	33695765	33696057			
ENSG00000223394	ENSG00000223394.1	TRBV29OR9-2	T cell receptor beta variable 29/OR9-2 (non-functional) [Source:HGNC Symbol;Acc:12211]	9	33786526	33786826			
ENSG00000225380	ENSG00000225380.3	IGKV1OR9-2	immunoglobulin kappa variable 1/OR9-2 (pseudogene) [Source:HGNC Symbol;Acc:49466]	9	42751727	42752381			
ENSG00000156755	ENSG00000156755.9	IGKV1OR-2	immunoglobulin kappa variable 1/OR-2 (pseudogene) [Source:HGNC Symbol;Acc:5761]	9	69777099	69777953			
ENSG00000204780	ENSG00000204780.4	IGKV1OR9-1	immunoglobulin kappa variable 1/OR9-1 (pseudogene) [Source:HGNC Symbol;Acc:49473]	9	70143769	70144432			
ENSG00000204776	ENSG00000204776.5	IGKV1OR-3	immunoglobulin kappa variable 1/OR-3 (pseudogene) [Source:HGNC Symbol;Acc:5762]	9	70394238	70395090			
ENSG00000237592	ENSG00000237592.2	IGKV1OR10-1	immunoglobulin kappa variable 1/OR10-1 (pseudogene) [Source:HGNC Symbol;Acc:44978]	10	42680787	42681239			
ENSG00000255569	ENSG00000255569.1	TRAV1-1	T cell receptor alpha variable 1-1 [Source:HGNC Symbol;Acc:12101]	14	22089991	22090720			
ENSG00000256553	ENSG00000256553.1	TRAV1-2	T cell receptor alpha variable 1-2 [Source:HGNC Symbol;Acc:12102]	14	22111109	22111798			
ENSG00000211776	ENSG00000211776.2	TRAV2	T cell receptor alpha variable 2 [Source:HGNC Symbol;Acc:12116]	14	22180544	22181066			
ENSG00000211777	ENSG00000211777.2	TRAV3	T cell receptor alpha variable 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:12128]	14	22191960	22192568			
ENSG00000211778	ENSG00000211778.2	TRAV4	T cell receptor alpha variable 4 [Source:HGNC Symbol;Acc:12140]	14	22204434	22205264			
ENSG00000211779	ENSG00000211779.3	TRAV5	T cell receptor alpha variable 5 [Source:HGNC Symbol;Acc:12143]	14	22217462	22217989			
ENSG00000211780	ENSG00000211780.3	TRAV6	T cell receptor alpha variable 6 [Source:HGNC Symbol;Acc:12144]	14	22236729	22237320			
ENSG00000211781	ENSG00000211781.3	TRAV7	T cell receptor alpha variable 7 [Source:HGNC Symbol;Acc:12145]	14	22251210	22251720			
ENSG00000211782	ENSG00000211782.2	TRAV8-1	T cell receptor alpha variable 8-1 [Source:HGNC Symbol;Acc:12146]	14	22265459	22266058			
ENSG00000211783	ENSG00000211783.3	TRAV9-1	T cell receptor alpha variable 9-1 [Source:HGNC Symbol;Acc:12153]	14	22279674	22280149			
ENSG00000211784	ENSG00000211784.2	TRAV10	T cell receptor alpha variable 10 [Source:HGNC Symbol;Acc:12103]	14	22293636	22294239			
ENSG00000256474	ENSG00000256474.1	TRAV11	T cell receptor alpha variable 11 (pseudogene) [Source:HGNC Symbol;Acc:12104]	14	22297692	22298223			
ENSG00000211785	ENSG00000211785.1	TRAV12-1	T cell receptor alpha variable 12-1 [Source:HGNC Symbol;Acc:12105]	14	22309422	22309956			
ENSG00000211786	ENSG00000211786.3	TRAV8-2	T cell receptor alpha variable 8-2 [Source:HGNC Symbol;Acc:12147]	14	22314719	22315403			
ENSG00000211787	ENSG00000211787.1	TRAV8-3	T cell receptor alpha variable 8-3 [Source:HGNC Symbol;Acc:12148]	14	22320735	22321183			
ENSG00000211788	ENSG00000211788.2	TRAV13-1	T cell receptor alpha variable 13-1 [Source:HGNC Symbol;Acc:12108]	14	22337020	22337546			
ENSG00000211789	ENSG00000211789.2	TRAV12-2	T cell receptor alpha variable 12-2 [Source:HGNC Symbol;Acc:12106]	14	22356037	22356682			
ENSG00000211790	ENSG00000211790.2	TRAV8-4	T cell receptor alpha variable 8-4 [Source:HGNC Symbol;Acc:12149]	14	22362613	22363210			
ENSG00000256379	ENSG00000256379.1	TRAV8-5	T cell receptor alpha variable 8-5 (pseudogene) [Source:HGNC Symbol;Acc:12150]	14	22371257	22371778			
ENSG00000211791	ENSG00000211791.2	TRAV13-2	T cell receptor alpha variable 13-2 [Source:HGNC Symbol;Acc:12109]	14	22386363	22386931			
ENSG00000211792	ENSG00000211792.2	TRAV14DV4	T cell receptor alpha variable 14/delta variable 4 [Source:HGNC Symbol;Acc:12110]	14	22392239	22392827			
ENSG00000211793	ENSG00000211793.2	TRAV9-2	T cell receptor alpha variable 9-2 [Source:HGNC Symbol;Acc:12154]	14	22409313	22409848			
ENSG00000258482	ENSG00000258482.1	TRAV15	T cell receptor alpha variable 15 (pseudogene) [Source:HGNC Symbol;Acc:12111]	14	22418629	22418877			
ENSG00000211794	ENSG00000211794.3	TRAV12-3	T cell receptor alpha variable 12-3 [Source:HGNC Symbol;Acc:12107]	14	22433680	22434290			
ENSG00000211795	ENSG00000211795.3	TRAV8-6	T cell receptor alpha variable 8-6 [Source:HGNC Symbol;Acc:12151]	14	22446699	22447360			
ENSG00000211796	ENSG00000211796.1	TRAV16	T cell receptor alpha variable 16 [Source:HGNC Symbol;Acc:12112]	14	22458735	22459177			
ENSG00000211797	ENSG00000211797.2	TRAV17	T cell receptor alpha variable 17 [Source:HGNC Symbol;Acc:12113]	14	22465778	22466407			
ENSG00000211798	ENSG00000211798.3	TRAV18	T cell receptor alpha variable 18 [Source:HGNC Symbol;Acc:12114]	14	22471345	22471912			
ENSG00000211799	ENSG00000211799.3	TRAV19	T cell receptor alpha variable 19 [Source:HGNC Symbol;Acc:12115]	14	22475751	22476420			
ENSG00000211800	ENSG00000211800.3	TRAV20	T cell receptor alpha variable 20 [Source:HGNC Symbol;Acc:12117]	14	22508840	22509399			
ENSG00000211801	ENSG00000211801.3	TRAV21	T cell receptor alpha variable 21 [Source:HGNC Symbol;Acc:12118]	14	22520773	22521315			
ENSG00000211802	ENSG00000211802.3	TRAV22	T cell receptor alpha variable 22 [Source:HGNC Symbol;Acc:12119]	14	22538820	22539471			
ENSG00000211803	ENSG00000211803.2	TRAV23DV6	T cell receptor alpha variable 23/delta variable 6 [Source:HGNC Symbol;Acc:12120]	14	22554684	22555238			
ENSG00000211804	ENSG00000211804.2	TRDV1	T cell receptor delta variable 1 [Source:HGNC Symbol;Acc:12262]	14	22564309	22564896			
ENSG00000211805	ENSG00000211805.1	TRAV24	T cell receptor alpha variable 24 [Source:HGNC Symbol;Acc:12121]	14	22573620	22574123			
ENSG00000211806	ENSG00000211806.2	TRAV25	T cell receptor alpha variable 25 [Source:HGNC Symbol;Acc:12122]	14	22580300	22580984			
ENSG00000211807	ENSG00000211807.3	TRAV26-1	T cell receptor alpha variable 26-1 [Source:HGNC Symbol;Acc:12123]	14	22591276	22592243			
ENSG00000211808	ENSG00000211808.3	TRAV8-7	T cell receptor alpha variable 8-7 (non-functional) [Source:HGNC Symbol;Acc:12152]	14	22600515	22600996			
ENSG00000211809	ENSG00000211809.2	TRAV27	T cell receptor alpha variable 27 [Source:HGNC Symbol;Acc:12125]	14	22615949	22616587			
ENSG00000258835	ENSG00000258835.1	TRAV28	T cell receptor alpha variable 28 (pseudogene) [Source:HGNC Symbol;Acc:12126]	14	22623012	22623571			
ENSG00000211810	ENSG00000211810.3	TRAV29DV5	T cell receptor alpha variable 29/delta variable 5 (gene/pseudogene) [Source:HGNC Symbol;Acc:12127]	14	22631134	22631766			
ENSG00000259092	ENSG00000259092.1	TRAV30	T cell receptor alpha variable 30 [Source:HGNC Symbol;Acc:12129]	14	22636325	22636884			
ENSG00000249048	ENSG00000249048.2	TRAV31	T cell receptor alpha variable 31 (pseudogene) [Source:HGNC Symbol;Acc:12130]	14	22645170	22645761			
ENSG00000258905	ENSG00000258905.1	TRAV32	T cell receptor alpha variable 32 (pseudogene) [Source:HGNC Symbol;Acc:12131]	14	22653458	22653953			
ENSG00000258812	ENSG00000258812.1	TRAV33	T cell receptor alpha variable 33 (pseudogene) [Source:HGNC Symbol;Acc:12132]	14	22658052	22658607			
ENSG00000211812	ENSG00000211812.1	TRAV26-2	T cell receptor alpha variable 26-2 [Source:HGNC Symbol;Acc:12124]	14	22670477	22671262			
ENSG00000211813	ENSG00000211813.2	TRAV34	T cell receptor alpha variable 34 [Source:HGNC Symbol;Acc:12133]	14	22675418	22676025			
ENSG00000211814	ENSG00000211814.1	TRAV35	T cell receptor alpha variable 35 [Source:HGNC Symbol;Acc:12134]	14	22689792	22690371			
ENSG00000211815	ENSG00000211815.3	TRAV36DV7	T cell receptor alpha variable 36/delta variable 7 [Source:HGNC Symbol;Acc:12135]	14	22694641	22695149			
ENSG00000259068	ENSG00000259068.1	TRAV37	T cell receptor alpha variable 37 (pseudogene) [Source:HGNC Symbol;Acc:12136]	14	22733632	22734147			
ENSG00000211816	ENSG00000211816.2	TRAV38-1	T cell receptor alpha variable 38-1 [Source:HGNC Symbol;Acc:12137]	14	22739851	22740446			
ENSG00000211817	ENSG00000211817.2	TRAV38-2DV8	T cell receptor alpha variable 38-2/delta variable 8 [Source:HGNC Symbol;Acc:12138]	14	22748988	22749631			
ENSG00000211818	ENSG00000211818.1	TRAV39	T cell receptor alpha variable 39 [Source:HGNC Symbol;Acc:12139]	14	22771939	22772438			
ENSG00000211819	ENSG00000211819.3	TRAV40	T cell receptor alpha variable 40 [Source:HGNC Symbol;Acc:12141]	14	22782922	22783351			
ENSG00000211820	ENSG00000211820.1	TRAV41	T cell receptor alpha variable 41 [Source:HGNC Symbol;Acc:12142]	14	22788620	22789123			
ENSG00000211821	ENSG00000211821.2	TRDV2	T cell receptor delta variable 2 [Source:HGNC Symbol;Acc:12263]	14	22891362	22892033			
ENSG00000223997	ENSG00000223997.1	TRDD1	T cell receptor delta diversity 1 [Source:HGNC Symbol;Acc:12254]	14	22907539	22907546			
ENSG00000237235	ENSG00000237235.2	TRDD2	T cell receptor delta diversity 2 [Source:HGNC Symbol;Acc:12255]	14	22907999	22908007			
ENSG00000228985	ENSG00000228985.1	TRDD3	T cell receptor delta diversity 3 [Source:HGNC Symbol;Acc:12256]	14	22918105	22918117			
ENSG00000211825	ENSG00000211825.1	TRDJ1	T cell receptor delta joining 1 [Source:HGNC Symbol;Acc:12257]	14	22919081	22919131			
ENSG00000211826	ENSG00000211826.1	TRDJ4	T cell receptor delta joining 4 [Source:HGNC Symbol;Acc:12260]	14	22924241	22924288			
ENSG00000211827	ENSG00000211827.1	TRDJ2	T cell receptor delta joining 2 [Source:HGNC Symbol;Acc:12258]	14	22925681	22925734			
ENSG00000211828	ENSG00000211828.1	TRDJ3	T cell receptor delta joining 3 [Source:HGNC Symbol;Acc:12259]	14	22928090	22928148			
ENSG00000211829	ENSG00000211829.2	TRDC	T cell receptor delta constant [Source:HGNC Symbol;Acc:12253]	14	22931924	22934779			
ENSG00000256590	ENSG00000256590.2	TRDV3	T cell receptor delta variable 3 [Source:HGNC Symbol;Acc:12264]	14	22938033	22938690			
ENSG00000211831	ENSG00000211831.2	TRAJ61	T cell receptor alpha joining 61 (non-functional) [Source:HGNC Symbol;Acc:12094]	14	22944306	22944365			
ENSG00000249446	ENSG00000249446.2	TRAJ60	T cell receptor alpha joining 60 (pseudogene) [Source:HGNC Symbol;Acc:12093]	14	22945296	22945352			
ENSG00000211832	ENSG00000211832.2	TRAJ59	T cell receptor alpha joining 59 (non-functional) [Source:HGNC Symbol;Acc:12091]	14	22945543	22945596			
ENSG00000211833	ENSG00000211833.1	TRAJ58	T cell receptor alpha joining 58 (non-functional) [Source:HGNC Symbol;Acc:12090]	14	22946696	22946758			
ENSG00000211834	ENSG00000211834.1	TRAJ57	T cell receptor alpha joining 57 [Source:HGNC Symbol;Acc:12089]	14	22947861	22947923			
ENSG00000211835	ENSG00000211835.1	TRAJ56	T cell receptor alpha joining 56 [Source:HGNC Symbol;Acc:12088]	14	22948510	22948571			
ENSG00000250688	ENSG00000250688.1	TRAJ55	T cell receptor alpha joining 55 (pseudogene) [Source:HGNC Symbol;Acc:12087]	14	22950686	22950742			
ENSG00000211836	ENSG00000211836.1	TRAJ54	T cell receptor alpha joining 54 [Source:HGNC Symbol;Acc:12086]	14	22951276	22951335			
ENSG00000211837	ENSG00000211837.1	TRAJ53	T cell receptor alpha joining 53 [Source:HGNC Symbol;Acc:12085]	14	22951993	22952058			
ENSG00000211838	ENSG00000211838.1	TRAJ52	T cell receptor alpha joining 52 [Source:HGNC Symbol;Acc:12084]	14	22955216	22955284			
ENSG00000248366	ENSG00000248366.1	TRAJ51	T cell receptor alpha joining 51 (pseudogene) [Source:HGNC Symbol;Acc:12083]	14	22956171	22956233			
ENSG00000211839	ENSG00000211839.1	TRAJ50	T cell receptor alpha joining 50 [Source:HGNC Symbol;Acc:12082]	14	22957581	22957640			
ENSG00000211840	ENSG00000211840.1	TRAJ49	T cell receptor alpha joining 49 [Source:HGNC Symbol;Acc:12080]	14	22958476	22958531			
ENSG00000211841	ENSG00000211841.1	TRAJ48	T cell receptor alpha joining 48 [Source:HGNC Symbol;Acc:12079]	14	22959479	22959541			
ENSG00000211842	ENSG00000211842.1	TRAJ47	T cell receptor alpha joining 47 [Source:HGNC Symbol;Acc:12078]	14	22961838	22961894			
ENSG00000211843	ENSG00000211843.1	TRAJ46	T cell receptor alpha joining 46 [Source:HGNC Symbol;Acc:12077]	14	22962389	22962451			
ENSG00000211844	ENSG00000211844.1	TRAJ45	T cell receptor alpha joining 45 [Source:HGNC Symbol;Acc:12076]	14	22962911	22962976			
ENSG00000211845	ENSG00000211845.1	TRAJ44	T cell receptor alpha joining 44 [Source:HGNC Symbol;Acc:12075]	14	22963806	22963868			
ENSG00000211846	ENSG00000211846.1	TRAJ43	T cell receptor alpha joining 43 [Source:HGNC Symbol;Acc:12074]	14	22964896	22964949			
ENSG00000211847	ENSG00000211847.1	TRAJ42	T cell receptor alpha joining 42 [Source:HGNC Symbol;Acc:12073]	14	22965872	22965937			
ENSG00000211848	ENSG00000211848.1	TRAJ41	T cell receptor alpha joining 41 [Source:HGNC Symbol;Acc:12072]	14	22966642	22966703			
ENSG00000211849	ENSG00000211849.1	TRAJ40	T cell receptor alpha joining 40 [Source:HGNC Symbol;Acc:12071]	14	22968672	22968732			
ENSG00000211850	ENSG00000211850.1	TRAJ39	T cell receptor alpha joining 39 [Source:HGNC Symbol;Acc:12069]	14	22970585	22970647			
ENSG00000211851	ENSG00000211851.1	TRAJ38	T cell receptor alpha joining 38 [Source:HGNC Symbol;Acc:12068]	14	22971215	22971276			
ENSG00000211852	ENSG00000211852.1	TRAJ37	T cell receptor alpha joining 37 [Source:HGNC Symbol;Acc:12067]	14	22972735	22972797			
ENSG00000211853	ENSG00000211853.1	TRAJ36	T cell receptor alpha joining 36 [Source:HGNC Symbol;Acc:12066]	14	22974096	22974155			
ENSG00000211854	ENSG00000211854.1	TRAJ35	T cell receptor alpha joining 35 (non-functional) [Source:HGNC Symbol;Acc:12065]	14	22975629	22975687			
ENSG00000211855	ENSG00000211855.1	TRAJ34	T cell receptor alpha joining 34 [Source:HGNC Symbol;Acc:12064]	14	22976651	22976708			
ENSG00000211856	ENSG00000211856.1	TRAJ33	T cell receptor alpha joining 33 [Source:HGNC Symbol;Acc:12063]	14	22977587	22977643			
ENSG00000211857	ENSG00000211857.1	TRAJ32	T cell receptor alpha joining 32 [Source:HGNC Symbol;Acc:12062]	14	22978325	22978390			
ENSG00000211858	ENSG00000211858.1	TRAJ31	T cell receptor alpha joining 31 [Source:HGNC Symbol;Acc:12061]	14	22979951	22980007			
ENSG00000211859	ENSG00000211859.1	TRAJ30	T cell receptor alpha joining 30 [Source:HGNC Symbol;Acc:12060]	14	22981834	22981890			
ENSG00000211860	ENSG00000211860.1	TRAJ29	T cell receptor alpha joining 29 [Source:HGNC Symbol;Acc:12058]	14	22982921	22982980			
ENSG00000211861	ENSG00000211861.1	TRAJ28	T cell receptor alpha joining 28 [Source:HGNC Symbol;Acc:12057]	14	22984601	22984666			
ENSG00000211862	ENSG00000211862.1	TRAJ27	T cell receptor alpha joining 27 [Source:HGNC Symbol;Acc:12056]	14	22985251	22985309			
ENSG00000211863	ENSG00000211863.1	TRAJ26	T cell receptor alpha joining 26 [Source:HGNC Symbol;Acc:12055]	14	22987424	22987483			
ENSG00000211864	ENSG00000211864.2	TRAJ25	T cell receptor alpha joining 25 (non-functional) [Source:HGNC Symbol;Acc:12054]	14	22987790	22987849			
ENSG00000211865	ENSG00000211865.1	TRAJ24	T cell receptor alpha joining 24 [Source:HGNC Symbol;Acc:12053]	14	22988947	22989009			
ENSG00000211866	ENSG00000211866.1	TRAJ23	T cell receptor alpha joining 23 [Source:HGNC Symbol;Acc:12052]	14	22989394	22989456			
ENSG00000211867	ENSG00000211867.1	TRAJ22	T cell receptor alpha joining 22 [Source:HGNC Symbol;Acc:12051]	14	22991016	22991078			
ENSG00000211868	ENSG00000211868.1	TRAJ21	T cell receptor alpha joining 21 [Source:HGNC Symbol;Acc:12050]	14	22992573	22992627			
ENSG00000211869	ENSG00000211869.1	TRAJ20	T cell receptor alpha joining 20 [Source:HGNC Symbol;Acc:12049]	14	22993296	22993352			
ENSG00000211870	ENSG00000211870.1	TRAJ19	T cell receptor alpha joining 19 (non-functional) [Source:HGNC Symbol;Acc:12047]	14	22994233	22994292			
ENSG00000211871	ENSG00000211871.1	TRAJ18	T cell receptor alpha joining 18 [Source:HGNC Symbol;Acc:12046]	14	22994620	22994685			
ENSG00000211872	ENSG00000211872.1	TRAJ17	T cell receptor alpha joining 17 [Source:HGNC Symbol;Acc:12045]	14	22995812	22995874			
ENSG00000211873	ENSG00000211873.1	TRAJ16	T cell receptor alpha joining 16 [Source:HGNC Symbol;Acc:12044]	14	22997487	22997546			
ENSG00000211874	ENSG00000211874.1	TRAJ15	T cell receptor alpha joining 15 [Source:HGNC Symbol;Acc:12043]	14	22998580	22998641			
ENSG00000211875	ENSG00000211875.1	TRAJ14	T cell receptor alpha joining 14 [Source:HGNC Symbol;Acc:12042]	14	22999278	22999329			
ENSG00000211876	ENSG00000211876.1	TRAJ13	T cell receptor alpha joining 13 [Source:HGNC Symbol;Acc:12041]	14	23000026	23000088			
ENSG00000211877	ENSG00000211877.1	TRAJ12	T cell receptor alpha joining 12 [Source:HGNC Symbol;Acc:12040]	14	23000889	23000948			
ENSG00000211878	ENSG00000211878.1	TRAJ11	T cell receptor alpha joining 11 [Source:HGNC Symbol;Acc:12039]	14	23001452	23001511			
ENSG00000211879	ENSG00000211879.1	TRAJ10	T cell receptor alpha joining 10 [Source:HGNC Symbol;Acc:12038]	14	23002445	23002508			
ENSG00000211880	ENSG00000211880.1	TRAJ9	T cell receptor alpha joining 9 [Source:HGNC Symbol;Acc:12097]	14	23004502	23004562			
ENSG00000211881	ENSG00000211881.1	TRAJ8	T cell receptor alpha joining 8 [Source:HGNC Symbol;Acc:12096]	14	23005092	23005151			
ENSG00000211882	ENSG00000211882.1	TRAJ7	T cell receptor alpha joining 7 [Source:HGNC Symbol;Acc:12095]	14	23006567	23006625			
ENSG00000211883	ENSG00000211883.1	TRAJ6	T cell receptor alpha joining 6 [Source:HGNC Symbol;Acc:12092]	14	23008016	23008077			
ENSG00000211884	ENSG00000211884.1	TRAJ5	T cell receptor alpha joining 5 [Source:HGNC Symbol;Acc:12081]	14	23009190	23009249			
ENSG00000211885	ENSG00000211885.1	TRAJ4	T cell receptor alpha joining 4 [Source:HGNC Symbol;Acc:12070]	14	23011142	23011204			
ENSG00000211886	ENSG00000211886.1	TRAJ3	T cell receptor alpha joining 3 [Source:HGNC Symbol;Acc:12059]	14	23012122	23012183			
ENSG00000211887	ENSG00000211887.2	TRAJ2	T cell receptor alpha joining 2 (non-functional) [Source:HGNC Symbol;Acc:12048]	14	23013015	23013080			
ENSG00000211888	ENSG00000211888.2	TRAJ1	T cell receptor alpha joining 1 (non-functional) [Source:HGNC Symbol;Acc:12037]	14	23013981	23014042			
ENSG00000229164	ENSG00000229164.5	TRAC	T cell receptor alpha constant [Source:HGNC Symbol;Acc:12029]	14	23016447	23021097			
ENSG00000211890	ENSG00000211890.3	IGHA2	immunoglobulin heavy constant alpha 2 (A2m marker) [Source:HGNC Symbol;Acc:5479]	14	106053226	106054732		present??	
ENSG00000211891	ENSG00000211891.4	IGHE	immunoglobulin heavy constant epsilon [Source:HGNC Symbol;Acc:5522]	14	106064224	106068065		present??	
ENSG00000211892	ENSG00000211892.2	IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker) [Source:HGNC Symbol;Acc:5528]	14	106090687	106092403		present??	
ENSG00000211893	ENSG00000211893.3	IGHG2	immunoglobulin heavy constant gamma 2 (G2m marker) [Source:HGNC Symbol;Acc:5526]	14	106109389	106111127		present??	
ENSG00000253755	ENSG00000253755.1	IGHGP	immunoglobulin heavy constant gamma P (non-functional) [Source:HGNC Symbol;Acc:5529]	14	106130970	106136180			
ENSG00000211895	ENSG00000211895.3	IGHA1	immunoglobulin heavy constant alpha 1 [Source:HGNC Symbol;Acc:5478]	14	106173457	106175002		present??	
ENSG00000253692	ENSG00000253692.2	IGHEP1	immunoglobulin heavy constant epsilon P1 (pseudogene) [Source:HGNC Symbol;Acc:5523]	14	106185955	106188864			
ENSG00000211896	ENSG00000211896.2	IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker) [Source:HGNC Symbol;Acc:5525]	14	106202680	106209408		present??	
ENSG00000211897	ENSG00000211897.3	IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker) [Source:HGNC Symbol;Acc:5527]	14	106235439	106237742		present??	present??
ENSG00000211898	ENSG00000211898.3	IGHD	immunoglobulin heavy constant delta [Source:HGNC Symbol;Acc:5480]	14	106303099	106312010		del	del
ENSG00000211899	ENSG00000211899.3	IGHM	immunoglobulin heavy constant mu [Source:HGNC Symbol;Acc:5541]	14	106320349	106322323		del	del
ENSG00000211900	ENSG00000211900.2	IGHJ6	immunoglobulin heavy joining 6 [Source:HGNC Symbol;Acc:5540]	14	106329408	106329468		present??	present
ENSG00000237111	ENSG00000237111.1	IGHJ3P	immunoglobulin heavy joining 3P (pseudogene) [Source:HGNC Symbol;Acc:5537]	14	106329626	106329675			
ENSG00000242472	ENSG00000242472.1	IGHJ5	immunoglobulin heavy joining 5 [Source:HGNC Symbol;Acc:5539]	14	106330024	106330072		present??	present??
ENSG00000240041	ENSG00000240041.1	IGHJ4	immunoglobulin heavy joining 4 [Source:HGNC Symbol;Acc:5538]	14	106330425	106330470	present?	present??	present
ENSG00000242887	ENSG00000242887.1	IGHJ3	immunoglobulin heavy joining 3 [Source:HGNC Symbol;Acc:5536]	14	106330797	106330845	del	del	del
ENSG00000237547	ENSG00000237547.1	IGHJ2P	immunoglobulin heavy joining 2P (pseudogene) [Source:HGNC Symbol;Acc:5535]	14	106331003	106331062	del		del
ENSG00000211904	ENSG00000211904.2	IGHJ2	immunoglobulin heavy joining 2 [Source:HGNC Symbol;Acc:5534]	14	106331409	106331460	del	del	del
ENSG00000211905	ENSG00000211905.1	IGHJ1	immunoglobulin heavy joining 1 [Source:HGNC Symbol;Acc:5532]	14	106331617	106331668	del	del	del
ENSG00000236597	ENSG00000236597.1	IGHD7-27	immunoglobulin heavy diversity 7-27 [Source:HGNC Symbol;Acc:5518]	14	106331761	106331771	del	deleted??	del
ENSG00000227335	ENSG00000227335.1	IGHJ1P	immunoglobulin heavy joining 1P (pseudogene) [Source:HGNC Symbol;Acc:5533]	14	106331834	106331888	del		del
ENSG00000211907	ENSG00000211907.1	IGHD1-26	immunoglobulin heavy diversity 1-26 [Source:HGNC Symbol;Acc:5485]	14	106346892	106346911	del	deleted??	del
ENSG00000225825	ENSG00000225825.1	IGHD6-25	immunoglobulin heavy diversity 6-25 [Source:HGNC Symbol;Acc:5516]	14	106347397	106347414	del	deleted??	del
ENSG00000211909	ENSG00000211909.1	IGHD5-24	immunoglobulin heavy diversity 5-24 (non-functional) [Source:HGNC Symbol;Acc:5510]	14	106349761	106349780	del		present
ENSG00000227196	ENSG00000227196.1	IGHD4-23	immunoglobulin heavy diversity 4-23 (non-functional) [Source:HGNC Symbol;Acc:5504]	14	106350728	106350746	del		present
ENSG00000211911	ENSG00000211911.1	IGHD3-22	immunoglobulin heavy diversity 3-22 [Source:HGNC Symbol;Acc:5497]	14	106351889	106351919	del	present??	present??
ENSG00000211912	ENSG00000211912.1	IGHD2-21	immunoglobulin heavy diversity 2-21 [Source:HGNC Symbol;Acc:5491]	14	106354409	106354436	del	present??	present??
ENSG00000237020	ENSG00000237020.1	IGHD1-20	immunoglobulin heavy diversity 1-20 [Source:HGNC Symbol;Acc:5484]	14	106357049	106357065	del	present??	present??
ENSG00000211914	ENSG00000211914.1	IGHD6-19	immunoglobulin heavy diversity 6-19 [Source:HGNC Symbol;Acc:5515]	14	106357557	106357577	del	present??	present??
ENSG00000211915	ENSG00000211915.1	IGHD5-18	immunoglobulin heavy diversity 5-18 [Source:HGNC Symbol;Acc:5509]	14	106359400	106359419	del	del	del
ENSG00000227800	ENSG00000227800.1	IGHD4-17	immunoglobulin heavy diversity 4-17 [Source:HGNC Symbol;Acc:5503]	14	106360366	106360381	del	del	del
ENSG00000211917	ENSG00000211917.1	IGHD3-16	immunoglobulin heavy diversity 3-16 [Source:HGNC Symbol;Acc:5496]	14	106361492	106361528	del	del	del
ENSG00000211918	ENSG00000211918.1	IGHD2-15	immunoglobulin heavy diversity 2-15 [Source:HGNC Symbol;Acc:5489]	14	106363815	106363845	del	del	del
ENSG00000227108	ENSG00000227108.1	IGHD1-14	immunoglobulin heavy diversity 1-14 (non-functional) [Source:HGNC Symbol;Acc:5483]	14	106366496	106366512	del	del	del
ENSG00000211920	ENSG00000211920.1	IGHD6-13	immunoglobulin heavy diversity 6-13 [Source:HGNC Symbol;Acc:5514]	14	106367000	106367020	del	del	del
ENSG00000211921	ENSG00000211921.1	IGHD5-12	immunoglobulin heavy diversity 5-12 [Source:HGNC Symbol;Acc:5508]	14	106368507	106368529	del	del	del
